text,target
ohh i took a nap. hehe. now reheating some pizza for dinner! ,4
@andrewconnell I think that's the first time I've seen someone retweet themselves. ,4
wants to watch Disturbia on HBO again ,4
getting ready for a spontaneous LA performance ,4
I'm miss farras so much ,4
@KrisAllenmusic dont forget Philippines!... you have lots of fans here!... tc! ,4
no work tomorrow ,4
"@BryanGT3RS an mba maj in marketin, Brand mgnt,Business Dev and all the other palarva. I dont mind helpin a pal out.Dont forget mr  ",4
@DENISE_RICHARDS use Tweetie on your iphone or an image url ,4
Yay lakers!!! congrats @sashavujacic ,4
